Release Date,Time,Actual,Forecast,Previous
"Sep 01, 1996  (Aug)",05:00,7.59%,,9.25%
"Aug 01, 1996  (Jul)",05:00,9.25%,,8.29%
"Jul 01, 1996  (Jun)",05:00,8.29%,,8.05%
"Jun 01, 1996  (May)",05:00,8.05%,,7.43%
"May 01, 1996  (Apr)",05:00,7.43%,,6.66%
"Apr 01, 1996  (Mar)",05:00,6.66%,,6.34%
"Mar 01, 1996  (Feb)",05:00,6.34%,,7.11%
"Feb 01, 1996  (Jan)",05:00,7.11%,,13.13%
"Jan 01, 1996  (Dec)",05:00,13.13%,,12.23%
"Dec 01, 1995  (Nov)",05:00,12.23%,,13.94%
"Nov 01, 1995  (Oct)",05:00,13.94%,,15.01%
"Oct 01, 1995  (Sep)",05:00,15.01%,,16.74%
"Sep 01, 1995  (Aug)",05:00,16.74%,,15.94%
"Aug 01, 1995  (Jul)",05:00,15.94%,,17.33%
"Jul 01, 1995  (Jun)",05:00,17.33%,,16.35%
"Jun 01, 1995  (May)",05:00,16.35%,,16.07%
"May 01, 1995  (Apr)",05:00,16.07%,,16.97%
"Apr 01, 1995  (Mar)",05:00,16.97%,,17.89%
"Mar 01, 1995  (Feb)",05:00,17.89%,,17.82%
"Feb 01, 1995  (Jan)",05:00,17.82%,,11.95%
"Jan 01, 1995  (Dec)",05:00,11.95%,,11.40%
"Dec 01, 1994  (Nov)",05:00,11.40%,,9.46%
"Nov 01, 1994  (Oct)",05:00,9.46%,,8.19%
"Oct 01, 1994  (Sep)",05:00,8.19%,,7.17%
"Sep 01, 1994  (Aug)",05:00,7.17%,,7.72%
"Aug 01, 1994  (Jul)",05:00,7.72%,,6.39%
"Jul 01, 1994  (Jun)",05:00,6.39%,,6.25%
"Jun 01, 1994  (May)",05:00,6.25%,,6.89%
"May 01, 1994  (Apr)",05:00,6.89%,,7.39%
"Apr 01, 1994  (Mar)",05:00,7.39%,,7.34%
"Mar 01, 1994  (Feb)",05:00,7.34%,,7.36%
"Feb 01, 1994  (Jan)",05:00,7.36%,,9.75%
"Jan 01, 1994  (Dec)",05:00,9.75%,,11.09%
"Dec 01, 1993  (Nov)",05:00,11.09%,,10.06%
"Nov 01, 1993  (Oct)",05:00,10.06%,,11.24%
"Oct 01, 1993  (Sep)",05:00,11.24%,,14.02%
"Sep 01, 1993  (Aug)",05:00,14.02%,,11.95%
"Aug 01, 1993  (Jul)",05:00,11.95%,,14.95%
"Jul 01, 1993  (Jun)",05:00,14.95%,,13.59%
"Jun 01, 1993  (May)",05:00,13.59%,,13.14%
"May 01, 1993  (Apr)",05:00,13.14%,,12.81%
"Apr 01, 1993  (Mar)",05:00,12.81%,,12.45%
"Mar 01, 1993  (Feb)",05:00,12.45%,,10.44%
"Feb 01, 1993  (Jan)",05:00,10.44%,,9.29%
"Jan 01, 1993  (Dec)",05:00,9.29%,,9.28%
"Dec 01, 1992  (Nov)",05:00,9.28%,,8.70%
"Nov 01, 1992  (Oct)",05:00,8.70%,,8.35%
"Oct 01, 1992  (Sep)",05:00,8.35%,,9.60%
"Sep 01, 1992  (Aug)",05:00,9.60%,,9.51%
"Aug 01, 1992  (Jul)",05:00,9.51%,,9.74%
"Jul 01, 1992  (Jun)",05:00,9.74%,,16.67%
"Jun 01, 1992  (May)",05:00,16.67%,,18.30%
"May 01, 1992  (Apr)",05:00,18.30%,,21.00%
"Apr 01, 1992  (Mar)",05:00,21.00%,,21.33%
"Mar 01, 1992  (Feb)",05:00,21.33%,,26.11%
"Feb 01, 1992  (Jan)",05:00,26.11%,,25.78%
"Jan 01, 1992  (Dec)",05:00,25.78%,,24.64%
"Dec 01, 1991  (Nov)",05:00,24.64%,,25.90%
"Nov 01, 1991  (Oct)",05:00,25.90%,,25.01%
"Oct 01, 1991  (Sep)",05:00,25.01%,,20.36%
"Sep 01, 1991  (Aug)",05:00,20.36%,,21.31%
"Aug 01, 1991  (Jul)",05:00,21.31%,,20.71%
"Jul 01, 1991  (Jun)",05:00,20.71%,,14.61%
"Jun 01, 1991  (May)",05:00,14.61%,,16.70%
"May 01, 1991  (Apr)",05:00,16.70%,,15.07%
"Apr 01, 1991  (Mar)",05:00,15.07%,,14.94%
"Mar 01, 1991  (Feb)",05:00,14.94%,,10.95%
"Feb 01, 1991  (Jan)",05:00,10.95%,,7.21%
"Jan 01, 1991  (Dec)",05:00,7.21%,,7.55%
"Dec 01, 1990  (Nov)",05:00,7.55%,,11.02%
"Nov 01, 1990  (Oct)",05:00,11.02%,,17.96%
"Oct 01, 1990  (Sep)",05:00,17.96%,,20.04%
"Sep 01, 1990  (Aug)",05:00,20.04%,,21.64%
"Aug 01, 1990  (Jul)",05:00,21.64%,,21.38%
"Jul 01, 1990  (Jun)",05:00,21.38%,,23.12%
"Jun 01, 1990  (May)",05:00,23.12%,,10.50%
"May 01, 1990  (Apr)",05:00,10.50%,,18.32%
"Apr 01, 1990  (Mar)",05:00,18.32%,,21.45%
"Mar 01, 1990  (Feb)",05:00,21.45%,,26.34%
"Feb 01, 1990  (Jan)",05:00,26.34%,,28.47%
"Jan 01, 1990  (Dec)",05:00,28.47%,,26.62%
"Dec 01, 1989  (Nov)",05:00,26.62%,,25.49%
"Nov 01, 1989  (Oct)",05:00,25.49%,,17.84%
