year,month,day,EUR/USD
1995,8,10,1.3142
1995,8,9,1.3241
1995,8,8,1.3223
1995,8,7,1.3218
1995,8,4,1.3336
1995,8,3,1.3392
1995,8,2,1.3322
1995,8,1,1.35
1995,7,31,1.3405
1995,7,28,1.3446
1995,7,27,1.345
1995,7,26,1.3389
1995,7,25,1.3299
1995,7,24,1.337
1995,7,21,1.3363
1995,7,20,1.3379
1995,7,19,1.344
1995,7,18,1.333
1995,7,17,1.3265
1995,7,14,1.3305
1995,7,13,1.3318
1995,7,12,1.3216
1995,7,11,1.3182
1995,7,10,1.3275
1995,7,7,1.3286
1995,7,6,1.3382
1995,7,5,1.3373
1995,7,4,1.3325
1995,7,3,1.3342
1995,6,30,1.3321
1995,6,29,1.3353
1995,6,28,1.3188
1995,6,27,1.3264
1995,6,26,1.3246
1995,6,23,1.3315
1995,6,22,1.3206
1995,6,21,1.3284
1995,6,20,1.3274
1995,6,19,1.3217
1995,6,16,1.3196
1995,6,15,1.315
1995,6,14,1.32
1995,6,13,1.3114
1995,6,12,1.3153
1995,6,9,1.3142
1995,6,8,1.3128
1995,6,7,1.3098
1995,6,6,1.3113
1995,6,5,1.3123
1995,6,2,1.3022
1995,6,1,1.3157
1995,5,31,1.305
1995,5,30,1.3228
1995,5,29,1.3266
1995,5,26,1.3365
1995,5,25,1.3164
1995,5,24,1.2818
1995,5,23,1.2748
1995,5,22,1.2818
1995,5,19,1.2805
1995,5,18,1.271
1995,5,17,1.2803
1995,5,16,1.2843
1995,5,15,1.2904
1995,5,12,1.2811
1995,5,11,1.2989
1995,5,10,1.3254
1995,5,9,1.3299
1995,5,8,1.3401
1995,5,5,1.331
1995,5,4,1.3342
1995,5,3,1.3328
1995,5,2,1.3279
1995,5,1,1.3209
1995,4,28,1.3251
1995,4,27,1.33
1995,4,26,1.3373
1995,4,25,1.3374
1995,4,24,1.3295
1995,4,21,1.3312
1995,4,20,1.3206
1995,4,19,1.3294
1995,4,18,1.345
1995,4,17,1.343
1995,4,14,1.3262
1995,4,13,1.3293
1995,4,12,1.3142
1995,4,11,1.3144
1995,4,10,1.3008
1995,4,7,1.3352
1995,4,6,1.3331
1995,4,5,1.3278
1995,4,4,1.3253
1995,4,3,1.33
1995,3,31,1.3319
1995,3,30,1.3019
1995,3,29,1.3192
1995,3,28,1.3161
1995,3,27,1.2989
1995,3,24,1.2907
1995,3,23,1.2985
1995,3,22,1.297
1995,3,21,1.292
1995,3,20,1.2949
1995,3,17,1.3026
1995,3,16,1.3073
