,year,month,day,XAU_Price
1339,2019,2,28,23142.78
1338,2019,3,1,22997.53
1337,2019,3,4,22637.33
1336,2019,3,5,22544.21
1335,2019,3,6,22486.04
1334,2019,3,7,22468.18
1333,2019,3,8,22397.16
1332,2019,3,11,22652.05
1331,2019,3,12,22546.41
1330,2019,3,13,22652.79
1329,2019,3,14,22806.19
1328,2019,3,15,22554.98
1327,2019,3,18,22597.32
1326,2019,3,19,22567.75
1325,2019,3,20,22591.3
1324,2019,3,21,22672.41
1323,2019,3,22,22593.45
1322,2019,3,25,22721.06
1321,2019,3,26,22869.67
1320,2019,3,27,22765.34
1319,2019,3,28,22684.7
1318,2019,3,29,22364.37
1317,2019,4,1,22381.37
1316,2019,4,2,22323.06
1315,2019,4,3,22386.71
1314,2019,4,4,22357.29
1313,2019,4,5,22369.98
1312,2019,4,8,22390.14
1311,2019,4,9,22472.46
1310,2019,4,10,22599.8
1309,2019,4,11,22655.44
1308,2019,4,12,22375.0
1307,2019,4,15,22362.65
1306,2019,4,16,22338.37
1305,2019,4,17,22097.45
1304,2019,4,18,21983.65
1303,2019,4,19,21936.81
1302,2019,4,22,21864.54
1301,2019,4,23,21890.47
1300,2019,4,24,21837.37
1299,2019,4,25,21913.11
1298,2019,4,26,21940.51
1297,2019,4,29,22096.51
1296,2019,4,30,21983.66
1295,2019,5,1,22039.35
1294,2019,5,2,21920.27
1293,2019,5,3,21825.06
1292,2019,5,6,21972.52
1291,2019,5,7,21955.28
1290,2019,5,8,22030.9
1289,2019,5,9,21971.18
1288,2019,5,10,21987.52
1287,2019,5,13,22009.18
1286,2019,5,14,22204.27
1285,2019,5,15,22140.31
1284,2019,5,16,22147.05
1283,2019,5,17,21934.84
1282,2019,5,20,21783.21
1281,2019,5,21,21749.02
1280,2019,5,22,21697.37
1279,2019,5,23,21576.66
1278,2019,5,24,21646.15
1277,2019,5,27,21693.07
1276,2019,5,28,21629.94
1275,2019,5,29,21547.88
1274,2019,5,30,21529.45
1273,2019,5,31,21625.2
1272,2019,6,3,21911.95
1271,2019,6,4,22210.86
1270,2019,6,5,22213.79
1269,2019,6,6,22321.62
1268,2019,6,7,22410.46
1267,2019,6,10,22403.81
1266,2019,6,11,22231.58
1265,2019,6,12,22239.06
1264,2019,6,13,22311.16
1263,2019,6,14,22499.48
1262,2019,6,17,22516.51
1261,2019,6,18,22453.63
1260,2019,6,19,22581.66
1259,2019,6,20,22774.71
1258,2019,6,21,23174.07
1257,2019,6,24,23349.3
1256,2019,6,25,23709.85
1255,2019,6,26,23772.71
1254,2019,6,27,23539.42
1253,2019,6,28,23537.37
1252,2019,7,1,23260.28
1251,2019,7,2,23127.41
1250,2019,7,3,23600.61
1249,2019,7,4,23579.59
1248,2019,7,5,23544.69
1247,2019,7,8,23212.84
1246,2019,7,9,23178.63
1245,2019,7,10,23214.14
1244,2019,7,11,23581.41
1243,2019,7,12,23287.02
1242,2019,7,15,23537.56
1241,2019,7,16,23488.46
1240,2019,7,17,23381.39
1239,2019,7,18,23691.93
1238,2019,7,19,24033.29
1237,2019,7,22,23674.16
1236,2019,7,23,23684.02
1235,2019,7,24,23560.7
1234,2019,7,25,23680.54
1233,2019,7,26,23469.88
1232,2019,7,29,23563.64
1231,2019,7,30,23671.87
1230,2019,7,31,23696.01
1229,2019,8,1,23398.58
1228,2019,8,2,23964.0
1227,2019,8,5,23857.18
1226,2019,8,6,24244.71
1225,2019,8,7,24408.38
1224,2019,8,8,24867.38
1223,2019,8,9,24864.07
1222,2019,8,12,24840.33
1221,2019,8,13,25066.73
1220,2019,8,14,24902.19
1219,2019,8,15,25171.04
1218,2019,8,16,25254.26
1217,2019,8,19,25115.32
1216,2019,8,20,24824.07
1215,2019,8,21,25012.07
1214,2019,8,22,24945.28
1213,2019,8,23,24826.84
1212,2019,8,26,25525.46
1211,2019,8,27,25292.11
1210,2019,8,28,25521.21
1209,2019,8,29,25487.51
1208,2019,8,30,25283.45
1207,2019,9,2,25214.66
1206,2019,9,3,25330.19
1205,2019,9,4,25606.93
1204,2019,9,5,25656.72
1203,2019,9,6,25035.38
1202,2019,9,9,24821.96
1201,2019,9,10,24673.56
1200,2019,9,11,24452.91
1199,2019,9,12,24595.73
1198,2019,9,13,24616.05
1197,2019,9,16,24572.19
1196,2019,9,17,24483.05
1195,2019,9,18,24517.06
1194,2019,9,19,24426.91
1193,2019,9,20,24448.7
1192,2019,9,23,24730.97
1191,2019,9,24,24819.6
1190,2019,9,25,24983.66
1189,2019,9,26,24478.85
1188,2019,9,27,24543.3
1187,2019,9,30,24349.94
1186,2019,10,1,23969.55
1185,2019,10,2,24082.53
1184,2019,10,3,24500.03
1183,2019,10,4,24548.2
1182,2019,10,7,24542.56
1181,2019,10,8,24357.61
1180,2019,10,9,24524.62
1179,2019,10,10,24538.05
1178,2019,10,11,24320.05
1177,2019,10,14,24142.52
1176,2019,10,15,24279.44
1175,2019,10,16,24053.4
1174,2019,10,17,24181.1
1173,2019,10,18,24216.8
1172,2019,10,21,24169.26
1171,2019,10,22,24046.49
1170,2019,10,23,24101.57
1169,2019,10,24,24157.04
1168,2019,10,25,24258.89
1167,2019,10,28,24265.11
1166,2019,10,29,24089.21
1165,2019,10,30,23997.09
1164,2019,10,31,24139.71
1163,2019,11,1,24419.27
1162,2019,11,4,24402.47
1161,2019,11,5,24329.07
1160,2019,11,6,23932.16
1159,2019,11,7,24058.29
1158,2019,11,8,23702.57
1157,2019,11,11,23547.71
1156,2019,11,12,23511.42
1155,2019,11,13,23493.92
1154,2019,11,14,23619.97
1153,2019,11,15,23729.95
1152,2019,11,18,23607.31
1151,2019,11,19,23732.48
1150,2019,11,20,23708.87
1149,2019,11,21,23692.77
1148,2019,11,22,23593.11
1147,2019,11,25,23557.51
1146,2019,11,26,23486.53
1145,2019,11,27,23557.46
1144,2019,11,28,23440.92
1143,2019,11,29,23469.12
1142,2019,12,2,23696.21
1141,2019,12,3,23544.65
1140,2019,12,4,23816.18
1139,2019,12,5,23767.82
1138,2019,12,6,23822.04
1137,2019,12,9,23576.32
1136,2019,12,10,23562.62
1135,2019,12,11,23661.96
1134,2019,12,12,23823.33
1133,2019,12,13,23692.05
1132,2019,12,16,23720.28
1131,2019,12,17,23675.81
1130,2019,12,18,23664.79
1129,2019,12,19,23689.96
1128,2019,12,20,23732.65
1127,2019,12,23,23747.29
1126,2019,12,24,23857.46
1125,2019,12,25,24080.12
1124,2019,12,26,24088.11
1123,2019,12,27,24237.37
1122,2019,12,30,24294.56
1121,2019,12,31,24318.08
1120,2020,1,1,24352.61
1119,2020,1,2,24336.46
1118,2020,1,3,24527.57
1117,2020,1,6,24909.53
1116,2020,1,7,25170.24
1115,2020,1,8,25308.48
1114,2020,1,9,24950.87
1113,2020,1,10,24830.4
1112,2020,1,13,24918.54
1111,2020,1,14,24658.38
1110,2020,1,15,24556.21
1109,2020,1,16,24682.54
1108,2020,1,17,24576.24
1107,2020,1,20,24663.63
1106,2020,1,21,24639.53
1105,2020,1,22,24612.63
1104,2020,1,23,24629.37
1103,2020,1,24,24646.23
1102,2020,1,27,24966.38
1101,2020,1,28,24977.37
1100,2020,1,29,24767.39
1099,2020,1,30,24917.49
1098,2020,1,31,24875.22
1097,2020,2,3,25109.29
