Date,Price,Open,High,Low
11/12/1996,1.2696,1.2815,1.2821,1.2685
11/11/1996,1.2781,1.2727,1.2793,1.2702
11/08/1996,1.2714,1.2657,1.2728,1.2647
11/07/1996,1.2663,1.2733,1.2742,1.2657
11/06/1996,1.2627,1.2647,1.2669,1.2584
11/05/1996,1.2625,1.2708,1.2713,1.2603
11/04/1996,1.2690,1.2655,1.2693,1.2646
11/01/1996,1.2662,1.2642,1.2700,1.2605
10/31/1996,1.2642,1.2684,1.2703,1.2634
10/30/1996,1.2693,1.2683,1.2731,1.2645
10/29/1996,1.2673,1.2613,1.2715,1.2598
10/28/1996,1.2610,1.2586,1.2634,1.2575
10/25/1996,1.2604,1.2619,1.2645,1.2566
10/24/1996,1.2624,1.2582,1.2635,1.2565
10/23/1996,1.2587,1.2578,1.2621,1.2540
10/22/1996,1.2540,1.2519,1.2558,1.2505
10/21/1996,1.2515,1.2475,1.2526,1.2446
10/18/1996,1.2477,1.2437,1.2489,1.2431
10/17/1996,1.2439,1.2464,1.2483,1.2413
10/16/1996,1.2473,1.2464,1.2491,1.2430
10/15/1996,1.2465,1.2540,1.2542,1.2453
10/14/1996,1.2529,1.2520,1.2550,1.2505
10/11/1996,1.2519,1.2525,1.2540,1.2498
10/10/1996,1.2517,1.2527,1.2535,1.2489
10/09/1996,1.2520,1.2508,1.2538,1.2498
10/08/1996,1.2510,1.2492,1.2552,1.2490
10/07/1996,1.2497,1.2477,1.2512,1.2475
10/04/1996,1.2469,1.2482,1.2511,1.2463
10/03/1996,1.2475,1.2453,1.2500,1.2445
10/02/1996,1.2457,1.2486,1.2532,1.2454
10/01/1996,1.2480,1.2512,1.2532,1.2480
09/30/1996,1.2504,1.2502,1.2520,1.2475
09/27/1996,1.2502,1.2540,1.2559,1.2491
09/26/1996,1.2536,1.2599,1.2626,1.2515
09/25/1996,1.2600,1.2662,1.2666,1.2582
09/24/1996,1.2663,1.2586,1.2667,1.2555
09/23/1996,1.2578,1.2522,1.2600,1.2522
09/20/1996,1.2540,1.2515,1.2560,1.2478
09/19/1996,1.2523,1.2557,1.2565,1.2502
09/18/1996,1.2550,1.2521,1.2591,1.2511
09/17/1996,1.2520,1.2545,1.2555,1.2500
09/16/1996,1.2542,1.2515,1.2557,1.2496
09/13/1996,1.2502,1.2515,1.2540,1.2479
09/12/1996,1.2514,1.2544,1.2558,1.2498
09/11/1996,1.2526,1.2545,1.2562,1.2499
09/10/1996,1.2526,1.2606,1.2621,1.2519
09/09/1996,1.2618,1.2650,1.2689,1.2614
09/06/1996,1.2654,1.2705,1.2725,1.2647
09/05/1996,1.2694,1.2741,1.2752,1.2685
09/04/1996,1.2737,1.2702,1.2750,1.2691
09/03/1996,1.2700,1.2680,1.2728,1.2646
09/02/1996,1.2681,1.2721,1.2738,1.2662
08/30/1996,1.2730,1.2748,1.2770,1.2690
08/29/1996,1.2736,1.2735,1.2753,1.2700
08/28/1996,1.2738,1.2718,1.2753,1.2701
08/27/1996,1.2728,1.2737,1.2780,1.2719
08/26/1996,1.2716,1.2728,1.2756,1.2713
08/23/1996,1.2714,1.2641,1.2717,1.2628
08/22/1996,1.2623,1.2686,1.2697,1.2580
08/21/1996,1.2689,1.2654,1.2703,1.2635
08/20/1996,1.2649,1.2650,1.2665,1.2616
08/19/1996,1.2659,1.2620,1.2671,1.2617
08/16/1996,1.2630,1.2675,1.2682,1.2606
08/15/1996,1.2684,1.2647,1.2693,1.2630
08/14/1996,1.2636,1.2711,1.2711,1.2625
08/13/1996,1.2700,1.2700,1.2730,1.2697
08/12/1996,1.2696,1.2718,1.2755,1.2685
08/09/1996,1.2700,1.2671,1.2722,1.2670
08/08/1996,1.2659,1.2647,1.2683,1.2625
08/07/1996,1.2640,1.2660,1.2676,1.2620
08/06/1996,1.2661,1.2692,1.2695,1.2637
08/05/1996,1.2697,1.2726,1.2763,1.2650
08/02/1996,1.2720,1.2726,1.2736,1.2680
08/01/1996,1.2742,1.2769,1.2797,1.2732
07/31/1996,1.2767,1.2722,1.2837,1.2722
07/30/1996,1.2720,1.2694,1.2740,1.2675
07/29/1996,1.2704,1.2689,1.2720,1.2672
07/26/1996,1.2676,1.2712,1.2753,1.2658
07/25/1996,1.2722,1.2626,1.2783,1.2624
07/24/1996,1.2633,1.2654,1.2710,1.2626
07/23/1996,1.2656,1.2725,1.2737,1.2633
07/22/1996,1.2708,1.2628,1.2735,1.2625
07/19/1996,1.2677,1.2640,1.2697,1.2624
07/18/1996,1.2649,1.2671,1.2703,1.2605
07/17/1996,1.2676,1.2728,1.2733,1.2634
07/16/1996,1.2710,1.2460,1.2800,1.2460
07/15/1996,1.2462,1.2443,1.2485,1.2417
